year,month,day,hour,minute,second,RMS,longitude,latitude,depth,magnitude
1978,8,23,0,38,0,0,-85.37,9.87,20,6.8
1978,8,23,0,50,0,0,-85.5,9.89,26,7
1978,8,23,2,24,0,0,-85.55,9.668,44,4.9
1978,8,23,2,26,0,0,-85.55,9.668,44,4.3
1978,8,29,18,54,0,0,-83.883,9.55,1,4.3
1978,9,6,2,2,0,0,-85.772,10.519,20,5
1978,9,17,10,47,0,0,-83.836,9.366,31.6,4.7
1978,12,25,11,42,0,0,-84.177,9.52,66.9,4.8
1979,1,4,22,52,0,0,-84.169,9.335,20.5,4.4
1979,2,7,2,5,0,0,-84.031,9.825,20,3.2
1979,3,17,22,26,0,0,-84.006,10.065,1.3,3.7
1979,3,20,10,3,0,0,-83.991,10.09,20,3.3
1979,3,28,14,44,0,0,-83.979,10.096,3.7,3.4
1979,4,5,12,33,0,0,-84.229,10.571,20,4.8
1979,4,9,1,57,0,0,-82.391,8.191,20,5.2
1979,6,10,18,3,0,0,-83.28,8.311,20,4.7
1979,6,13,2,19,0,0,-84.097,9.31,20,3.2
1979,7,1,20,38,0,0,-82.88,7.87,9,6.5
1979,8,13,7,3,0,0,-82.822,8.5,20,5.3
1979,8,24,4,27,0,0,-83.958,8.397,20,6.3
1979,8,26,11,42,0,0,-82.905,8.48,20,5
1979,10,17,19,41,0,0,-83.856,9.751,24.9,3.5
1979,10,29,9,9,0,0,-85.35,10.016,20,5
1979,10,29,9,22,0,0,-85.422,10.077,20,5.2
1979,11,10,23,17,0,0,-84.251,9.585,7.6,4.5
1980,3,26,0,22,0,0,-84.601,10.115,20,4.4
1980,3,31,14,58,0,0,-84.122,9.865,1,3.3
1980,5,10,9,36,0,0,-84.258,9.663,61,4.3
1980,5,15,20,54,0,0,-84.917,9.962,40,4.7
1980,6,26,12,38,0,0,-85.876,10.186,20,5
1980,6,26,12,53,0,0,-83.454,8.861,20,5.2
1980,6,26,12,57,0,0,-85.871,10.486,20,5.3
1980,7,14,10,13,0,0,-84.473,9.854,1,5
1980,7,14,22,31,0,0,-84.1,9.974,21.5,3.9
1980,7,27,7,20,0,0,-84.327,9.918,1,4.3
1980,7,27,7,21,0,0,-84.427,10.181,77,5.3
1980,8,7,3,58,0,0.2,-84.365,9.559,29.8,2.5
1980,8,7,11,27,0,0.6,-84.967,9.448,20,3.5
1980,8,7,14,48,0,0.4,-83.08,7.812,20,4.4
1980,8,16,17,13,0,0,-84.168,9.434,36.7,4.7
1980,9,3,19,14,0,0,-83.92,9.704,20,4.3
1980,9,3,19,38,0,0,-83.926,9.708,20,4.3
1980,9,10,19,35,0,0,-84.05,10.053,12.8,4.3
1980,9,16,11,36,0,0.6,-83.718,9.202,19.1,2.7
1980,9,17,19,20,0,0.3,-84.706,9.53,37.4,3.4
1980,9,18,4,0,0,0.2,-84.23,9.398,35,2.5
1980,9,18,12,19,0,0.3,-84.397,9.619,51.8,2.8
1980,9,18,12,29,0,0.7,-84.939,9.546,12.7,3.4
1980,9,19,9,13,0,0.2,-83.303,8.905,1.7,4.5
1980,9,19,15,37,0,0,-84.147,9.413,35.3,4.2
1980,9,21,0,53,0,0.2,-83.96,9.808,3.8,3.5
1980,9,21,12,5,0,0.2,-84.513,9.626,32.1,2.5
1980,9,21,21,1,0,0.2,-84.657,9.502,20,2.3
1980,9,23,15,24,0,1,-84.616,9.773,42.4,1.7
1980,9,24,13,8,0,0.8,-84.869,9.855,73.5,2.9
1980,9,28,19,5,0,0.2,-83.95,9.544,68,2.5
1980,9,28,22,25,0,0.9,-84.185,8.742,20,3.7
1980,9,29,10,30,0,0.2,-83.953,9.71,7.6,2
1980,9,29,18,35,0,0.5,-85.004,9.654,13.5,2.9
1980,9,30,11,25,0,1,-82.104,10.315,20,4
1980,10,2,12,23,0,0.8,-85.495,9.926,4.7,3.8
1980,10,4,6,31,0,0.5,-84.214,9.428,34.1,3.4
1980,10,6,10,55,0,0.1,-84.095,9.043,28.1,3.4
1980,10,8,23,38,0,0.7,-83.337,9.301,2.9,2.9
1980,10,9,4,13,0,0.7,-83.32,9.314,3.3,3.2
1980,10,9,6,38,0,0.9,-83.353,9.178,20,3.3
1980,10,9,8,9,0,0.5,-83.469,9.11,20,3.8
1980,10,9,8,9,0,0.5,-83.469,9.11,20,3.8
1980,10,9,8,33,0,0.5,-83.424,9.147,3.1,4.2
1980,10,11,4,4,0,0.4,-83.441,9.206,1.9,3.4
1980,10,11,5,3,0,0.4,-83.607,8.996,1.4,2.5
1980,10,12,5,0,0,0.5,-84.018,9.697,1,3
1980,10,12,12,23,0,0.4,-83.183,10.036,27.1,3.7
1980,10,15,20,0,0,1,-84.753,9.639,15.8,3.3
1980,10,18,17,0,0,0,-84.655,10.057,16.1,4
1980,10,18,23,10,0,0.5,-84.735,10.025,11.4,2
1980,10,18,23,30,0,0.8,-85.043,9.868,110,2.9
1980,10,19,7,36,0,0.1,-84.683,10.076,20.1,3.2
1980,10,19,11,5,0,0.1,-83.786,9.355,26.5,4.2
